1,Do a free-style rap for the next minute.
2,Let another person (10th in the list) post a something on your behalf.
3,Screen share your Instagram's dm list.
4,Screen share your gallery
5,Do an impression of another player until someone can figure out who it is.
6,Imitate a YouTube star until another player guesses who you're portraying.
7,Imitate a professor until someone guesses who it is
8,"Call a friend, pretend it's their birthday, and sing them ,Happy Birthday to You."
9,Show us your best dance moves.
10,Eat a spoon full of ketchup
11,Write #SIMP on your forehead
12,Do a prank call on one of your family members.
13,Let the 23rd person in the list edit your Instagram bio.(Cant change it for 24 hours)
14,Put five ice cubes in your mouth.
15,Ask the last person you texted for a date and share his/her reply
16,Draw your favourite movie and have the other person guess it (Pictionary-style).
17,Text your best friend I'm going to do it idc what happens and share his/her reply.
18,Demonstrate how you style your hair in the mirror (without actually using the mirror).
19,Empty a glass of cold water onto your head outside.
20,Lick a bar of soap.